minutes,x,y
0.000000000000000000e+00,2.890000000000000000e+02,3.550000000000000000e+02
1.000000000000000000e+00,2.900000000000000000e+02,3.540000000000000000e+02
2.000000000000000000e+00,2.910000000000000000e+02,3.520000000000000000e+02
3.000000000000000000e+00,3.260000000000000000e+02,3.500000000000000000e+02
4.000000000000000000e+00,3.280000000000000000e+02,3.470000000000000000e+02
5.000000000000000000e+00,3.000000000000000000e+02,3.470000000000000000e+02
6.000000000000000000e+00,3.060000000000000000e+02,3.430000000000000000e+02
7.000000000000000000e+00,3.100000000000000000e+02,3.370000000000000000e+02
8.000000000000000000e+00,3.160000000000000000e+02,3.320000000000000000e+02
9.000000000000000000e+00,3.380000000000000000e+02,3.240000000000000000e+02
1.000000000000000000e+01,3.370000000000000000e+02,3.190000000000000000e+02
1.100000000000000000e+01,3.220000000000000000e+02,3.080000000000000000e+02
1.200000000000000000e+01,3.240000000000000000e+02,3.020000000000000000e+02
1.300000000000000000e+01,3.290000000000000000e+02,2.920000000000000000e+02
1.400000000000000000e+01,3.360000000000000000e+02,2.840000000000000000e+02
1.500000000000000000e+01,3.380000000000000000e+02,2.820000000000000000e+02
1.600000000000000000e+01,3.430000000000000000e+02,2.740000000000000000e+02
1.700000000000000000e+01,3.500000000000000000e+02,2.670000000000000000e+02
1.800000000000000000e+01,3.550000000000000000e+02,2.560000000000000000e+02
1.900000000000000000e+01,3.680000000000000000e+02,2.440000000000000000e+02
2.000000000000000000e+01,3.610000000000000000e+02,2.260000000000000000e+02
2.100000000000000000e+01,5.680000000000000000e+02,3.450000000000000000e+02
2.200000000000000000e+01,3.260000000000000000e+02,1.540000000000000000e+02
2.300000000000000000e+01,5.750000000000000000e+02,3.440000000000000000e+02
2.400000000000000000e+01,6.120000000000000000e+02,3.420000000000000000e+02
2.500000000000000000e+01,6.390000000000000000e+02,1.580000000000000000e+02
2.600000000000000000e+01,6.370000000000000000e+02,3.440000000000000000e+02
2.700000000000000000e+01,6.280000000000000000e+02,3.390000000000000000e+02
